frame,t_mono,time_boot_ms,t_unix_usec,lat,lng,alt_msl,alt_agl,yaw,pitch,roll,nsats,fix_type,lat_gpi_ms,lat_att_ms,det_idx,cx,cy,w,h,bearing_px,bearing_py,conf
90,930.0221,939801.2,1785688405751236,-22.9780368,-43.23219313883773,38.7,-0.05,-33.69,0.17,-0.67,17,3,-37.7,-1.8,,,,,,,,
91,930.0936,939873.3,1785688405822749,-22.978036766707106,-43.2321931,38.72,-0.03,-33.69,0.17,-0.67,17,3,-67.8,-22.1,,,,,,,,
92,930.2006,939980.4,1785688405929811,-22.9780367,-43.23219305962279,38.76,0.01,-33.69,0.17,-0.66,17,3,-58.0,-17.0,,,,,,,,
93,930.3077,940088.0,1785688406036893,-22.9780367,-43.232193,38.79,0.04,-33.69,0.17,-0.66,18,3,-53.2,-12.0,,,,,,,,
94,930.4147,940192.9,1785688406143920,-22.9780367,-43.23219294712563,38.82,0.07,-33.69,0.17,-0.66,18,3,-48.0,-1.8,,,,,,,,
95,930.5218,940301.3,1785688406251032,-22.9780367,-43.23219283870961,38.85,0.1,-33.7,0.18,-0.66,18,3,-37.4,-1.8,,,,,,,,
96,930.5934,940373.4,1785688406322533,-22.9780367,-43.23219276662916,38.87,0.12,-33.7,0.18,-0.66,18,3,-68.2,-27.2,,,,,,,,
97,930.7004,940478.3,1785688406429617,-22.9780367,-43.23219266168131,38.89,0.14,-33.7,0.18,-0.65,18,3,-62.6,-16.9,,,,,,,,
98,930.8075,940581.0,1785688406536698,-22.9780367,-43.2321926,38.91,0.16,-33.7,0.18,-0.65,18,3,-63.9,-12.0,,,,,,,,
99,930.9147,940687.6,1785688406645548,-22.9780367,-43.23219250479242,38.93,0.18,-33.7,0.18,-0.65,18,3,-47.7,-1.9,,,,,,,,
100,931.0217,940801.1,1785688406752501,-22.9780367,-43.232192338874896,38.95,0.2,-33.7,0.19,-0.65,18,3,-37.7,-1.8,,,,,,,,
101,931.0933,940873.3,1785688406824101,-22.9780367,-43.2321923,38.96,0.21,-33.7,0.19,-0.65,18,3,-67.9,-27.2,,,,,,,,
102,931.2003,940980.3,1785688406931170,-22.9780367,-43.23219225971793,38.97,0.22,-33.7,0.19,-0.65,18,3,-58.1,-17.0,,,,,,,,
103,931.3073,941087.9,1785688407038139,-22.9780367,-43.2321922,38.98,0.23,-33.7,0.19,-0.66,18,3,-53.3,-12.0,,,,,,,,
104,931.4146,941193.0,1785688407145389,-22.9780367,-43.23219214702083,39.0,0.25,-33.7,0.19,-0.66,18,3,-47.9,-1.9,,,,,,,,
105,931.5223,941301.2,1785688407253106,-22.9780367,-43.23219203882636,39.02,0.27,-33.7,0.19,-0.66,18,3,-38.0,-2.1,,,,,,,,
106,931.5926,941372.0,1785688407323429,-22.9780367,-43.232192,39.02,0.27,-33.69,0.2,-0.66,18,3,-68.8,-27.5,,,,,,,,
107,931.6997,941477.9,1785688407430563,-22.9780367,-43.23219192411713,39.04,0.29,-33.7,0.2,-0.66,18,3,-62.8,-17.1,,,,,,,,
108,931.8071,941581.1,1785688407537907,-22.97803674109147,-43.23219171781707,39.05,0.3,-33.7,0.21,-0.64,18,3,-63.9,-12.0,,,,,,,,
109,931.9141,941687.6,1785688407638270,-22.9780368,-43.232191552438216,39.07,0.32,-33.7,0.21,-0.63,18,3,-47.6,-1.8,,,,,,,,
110,932.0214,941801.3,1785688407745569,-22.9780368,-43.23219137749475,39.09,0.34,-33.7,0.22,-0.63,18,3,-37.8,-1.8,,,,,,,,
111,932.1283,941908.1,1785688407852407,-22.9780368,-43.23219116375672,39.11,0.36,-33.7,0.22,-0.62,18,3,-32.3,-1.8,,,,,,,,
112,932.1998,941978.3,1785688407923932,-22.9780368,-43.23219106171833,39.13,0.38,-33.7,0.22,-0.62,18,3,-63.2,-17.1,,,,,,,,
113,932.3068,942085.1,1785688408030968,-22.9780368,-43.232190954867505,39.15,0.4,-33.7,0.22,-0.61,18,3,-53.3,-12.0,,,,,,,,
114,932.4139,942192.9,1785688408138049,-22.9780368,-43.23219084713117,39.17,0.42,-33.7,0.22,-0.62,18,3,-48.0,-1.9,,,,,,,,
115,932.521,942301.3,1785688408245133,-22.9780368,-43.232190738718536,39.19,0.44,-33.7,0.22,-0.62,18,3,-37.4,-1.8,,,,,,,,
116,932.5925,942373.3,1785688408316583,-22.9780368,-43.2321907,39.2,0.45,-33.7,0.21,-0.63,18,3,-68.3,-27.3,,,,,,,,
117,932.6995,942478.2,1785688408423630,-22.9780368,-43.23219066183053,39.21,0.46,-33.7,0.2,-0.63,18,3,-62.8,-17.1,,,,,,,,
118,932.8066,942581.0,1785688408530763,-22.9780368,-43.2321906,39.22,0.47,-33.7,0.2,-0.64,19,3,-63.8,-12.0,,,,,,,,
119,932.9137,942687.6,1785688408642880,-22.9780368,-43.23219055237966,39.23,0.48,-33.7,0.2,-0.64,19,3,-47.6,-6.9,,,,,,,,
120,933.0208,942801.1,1785688408750011,-22.9780368,-43.23219043885916,39.24,0.49,-33.7,0.2,-0.64,19,3,-37.8,-1.9,,,,,,,,
121,933.0923,942873.1,1785688408821447,-22.9780368,-43.23219036689244,39.24,0.49,-33.7,0.2,-0.64,19,3,-67.9,-27.3,,,,,,,,
122,933.1993,942978.2,1785688408928462,-22.9780368,-43.2321903,39.24,0.49,-33.7,0.21,-0.65,19,3,-63.2,-17.1,,,,,,,,
123,933.3064,943085.2,1785688409035597,-22.9780368,-43.23219020960367,39.25,0.49,-33.7,0.21,-0.65,19,3,-53.3,-12.0,,,,,,,,
124,933.4135,943192.9,1785688409142702,-22.9780368,-43.2321901,39.24,0.49,-33.7,0.21,-0.65,19,3,-48.0,-6.9,,,,,,,,
125,933.5206,943298.1,1785688409249770,-22.978036858146346,-43.232190041853656,39.24,0.49,-33.71,0.21,-0.65,19,3,-42.5,-1.9,,,,,,,,
126,933.5921,943369.8,1785688409321230,-22.9780369,-43.23218997022006,39.24,0.49,-33.71,0.21,-0.65,19,3,-68.2,-27.2,,,,,,,,
127,933.6991,943478.2,1785688409428276,-22.9780369,-43.23218986175008,39.24,0.49,-33.71,0.2,-0.65,19,3,-62.7,-17.1,,,,,,,,
128,933.8062,943581.0,1785688409535378,-22.9780369,-43.23218975898839,39.24,0.49,-33.71,0.2,-0.65,19,3,-63.8,-12.0,,,,,,,,
129,933.9134,943687.6,1785688409642751,-22.9780369,-43.23218965238836,39.24,0.49,-33.71,0.21,-0.65,19,3,-47.7,-7.0,,,,,,,,
130,934.0204,943798.0,1785688409749756,-22.9780369580177,-43.2321896,39.25,0.5,-33.71,0.2,-0.66,19,3,-42.9,-1.9,,,,,,,,
131,934.1275,943906.4,1785688409856834,-22.978037,-43.232189533571784,39.26,0.51,-33.71,0.2,-0.66,19,3,-32.4,-1.9,,,,,,,,
132,934.1991,943978.3,1785688409928415,-22.978037,-43.2321895,39.26,0.51,-33.71,0.19,-0.67,19,3,-63.1,-17.1,,,,,,,,
133,934.3061,944085.3,1785688410035475,-22.978037,-43.23218945474355,39.26,0.51,-33.71,0.19,-0.67,19,3,-53.2,-12.0,,,,,,,,
134,934.4132,944192.9,1785688410142525,-22.978037,-43.2321894,39.28,0.52,-33.71,0.18,-0.68,19,3,-47.9,-6.9,,,,,,,,
135,934.5202,944298.2,1785688410249596,-22.978037,-43.23218945824706,39.29,0.54,-33.71,0.17,-0.69,19,3,-42.4,-1.8,,,,,,,,
136,934.5919,944370.1,1785688410321280,-22.978037,-43.2321895,39.29,0.54,-33.71,0.16,-0.69,19,3,-68.1,-27.1,,,,,,,,
137,934.6988,944478.2,1785688410428161,-22.978037,-43.2321895,39.29,0.54,-33.71,0.15,-0.7,19,3,-62.8,-17.1,,,,,,,,
138,934.8059,944579.2,1785688410535303,-22.978037,-43.2321895,39.29,0.54,-33.71,0.15,-0.7,17,3,-68.8,-12.0,,,,,,,,
139,934.9134,944684.8,1785688410639354,-22.978037,-43.2321895,39.3,0.55,-33.71,0.15,-0.7,17,3,-47.6,-6.9,,,,,,,,
140,935.0197,944797.9,1785688410745680,-22.978037,-43.2321895,39.31,0.55,-33.71,0.15,-0.7,17,3,-42.8,-1.8,,,,,,,,
141,935.0916,944870.0,1785688410817505,-22.978037,-43.23218947000348,39.31,0.56,-33.71,0.15,-0.71,17,3,-67.8,-27.2,,,,,,,,
142,935.1987,944978.4,1785688410924626,-22.978037,-43.2321894,39.31,0.56,-33.71,0.16,-0.71,17,3,-63.1,-22.1,,,,,,,,
143,935.3057,945085.3,1785688411031675,-22.978037045289064,-43.23218930942188,39.31,0.56,-33.71,0.16,-0.71,18,3,-53.1,-11.9,,,,,,,,
144,935.4128,945192.9,1785688411138711,-22.9780371,-43.23218914707008,39.32,0.57,-33.71,0.17,-0.7,18,3,-48.0,-7.0,,,,,,,,
